event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T08:50:09Z,1,2,64,-0.00010091811418533325,4.000817060470581,4.2440032958984375,-2.2,0.2,12.224445819854736
update,2026-03-11T08:50:21Z,2,2,128,0.00028071366250514984,3.7122806310653687,4.0855796337127686,-2.87,0.1,24.110926866531372
