event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T17:38:23Z,1,8,256,-0.0012212998699396849,3.850195348262787,4.024052202701569,-2.7150000000000003,0.19047619047619047,41.94985294342041
update,2026-03-11T17:39:06Z,2,8,512,-0.0006941952742636204,2.7252503037452698,3.957161068916321,-3.975,0.11904761904761904,85.21807217597961
update,2026-03-11T17:39:48Z,3,8,768,-0.00032757362350821495,2.8196100890636444,3.8480527698993683,-3.3199999999999994,0.04,126.55030298233032
update,2026-03-11T17:40:32Z,4,8,1024,-0.000587106216698885,3.249639391899109,3.8563192486763,-4.5649999999999995,0.04,170.96696400642395
update,2026-03-11T17:41:13Z,5,8,1280,-0.00036191102117300034,2.625766009092331,3.917498230934143,-3.9850000000000003,0.06,212.15161395072937
update,2026-03-11T17:41:54Z,6,8,1536,-0.0003089380916208029,2.3888493925333023,3.926188439130783,-3.5549999999999997,0.08,252.4780399799347
update,2026-03-11T17:42:42Z,7,8,1792,-0.0002679338213056326,2.984017312526703,3.8821317851543427,-4.395000000000001,0.08,301.2872591018677
update,2026-03-11T17:43:25Z,8,8,2048,-0.0005021980032324791,3.1374607384204865,3.8807177245616913,-3.5400000000000005,0.12,343.73870301246643
