event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-12T12:01:50Z,1,4,256,-0.001053153071552515,6.647503077983856,3.7159681022167206,-4.095,0.047619047619047616,40.20594906806946
update,2026-03-12T12:02:30Z,2,4,512,-0.0019128737039864063,4.212359070777893,3.6219615638256073,-4.41,0.023809523809523808,80.16893815994263
update,2026-03-12T12:05:41Z,3,4,768,-0.0009931654203683138,4.042903482913971,3.616519033908844,-5.109999999999999,0.04,271.7080228328705
