event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T16:04:47Z,1,48,1024,-0.003942749521229416,1.3083755057305098,3.431797429919243,-2.565,0.1,70.14830994606018
update,2026-03-11T16:05:56Z,2,48,2048,-0.0038247689371928573,0.8628232982009649,3.482264220714569,-2.3049999999999997,0.12,138.65208411216736
update,2026-03-11T16:07:04Z,3,48,3072,-0.006085757457185537,0.7912706024944782,3.4782405495643616,-1.5400000000000003,0.14,207.5746259689331
update,2026-03-11T16:08:14Z,4,48,4096,-0.00675111566670239,1.0146042555570602,3.4166413471102715,-1.7600000000000002,0.18,276.6264979839325
update,2026-03-11T16:09:22Z,5,48,5120,-0.0016900231275940314,1.197018962353468,3.321527987718582,-2.0500000000000003,0.18,344.6728129386902
update,2026-03-11T16:10:32Z,6,48,6144,-0.0039218212477862835,0.6901992075145245,3.3800359964370728,-2.035,0.12,415.2131359577179
update,2026-03-11T16:11:44Z,7,48,7168,-0.004636758589185774,1.1711142994463444,3.31192696839571,-1.85,0.28,487.0362150669098
update,2026-03-11T16:12:54Z,8,48,8192,-0.006070522562367842,0.977417504414916,3.302063837647438,-1.2950000000000002,0.2,557.0789580345154
update,2026-03-11T16:14:03Z,9,48,9216,-0.004209374514175579,1.1557720564305782,3.2688106894493103,-1.03,0.2,626.0048019886017
update,2026-03-11T16:15:15Z,10,48,10240,-0.00364637459279038,1.0310871098190546,3.2743259593844414,-1.8650000000000002,0.06,698.4604830741882
update,2026-03-11T16:16:25Z,11,48,11264,-0.005555742623982951,1.1414681784808636,3.2320380955934525,-1.5050000000000001,0.3,768.5095970630646
update,2026-03-11T16:17:35Z,12,48,12288,-0.0029088687733747065,1.4154449366033077,3.3200882971286774,-0.8099999999999999,0.34,837.9719829559326
update,2026-03-11T16:18:43Z,13,48,13312,-0.005575529154157266,1.1781186815351248,3.2056167498230934,-0.8750000000000002,0.28,905.7204508781433
update,2026-03-11T16:19:51Z,14,48,14336,-0.006052393757272512,1.3746036104857922,3.180575966835022,-1.5250000000000001,0.32,974.3244709968567
update,2026-03-11T16:20:59Z,15,48,15360,-0.004029314906802028,1.5214702673256397,3.2473375648260117,-0.68,0.46,1042.0325169563293
update,2026-03-11T16:22:06Z,16,48,16384,-0.0018180978950113058,1.2892194725573063,3.216480940580368,0.15,0.42,1108.9930951595306
update,2026-03-11T16:23:16Z,17,48,17408,-0.001103563408832997,1.193245867267251,3.120879091322422,0.57,0.48,1179.576022863388
update,2026-03-11T16:24:26Z,18,48,18432,-0.0041903984965756536,1.3909529745578766,3.188146136701107,-0.6100000000000001,0.32,1248.7307298183441
update,2026-03-11T16:25:34Z,19,48,19456,-0.003415774292079732,1.3941208384931087,3.1314416900277138,0.3049999999999999,0.4,1317.3177058696747
update,2026-03-11T16:26:41Z,20,48,20480,-0.0033817412331700325,1.2331288196146488,3.198081895709038,-0.08999999999999998,0.48,1384.3729009628296
update,2026-03-11T16:27:49Z,21,48,21504,-0.0053954497270751745,1.491713684052229,3.171015277504921,0.31499999999999995,0.6,1452.0201070308685
update,2026-03-11T16:28:56Z,22,48,22528,-0.00791556021431461,1.2909794077277184,3.146267347037792,-0.8300000000000001,0.46,1518.796340227127
update,2026-03-11T16:30:04Z,23,48,23552,-0.006764037330867723,1.479790948331356,3.090401738882065,-0.14500000000000016,0.46,1587.0374591350555
update,2026-03-11T16:31:13Z,24,48,24576,-0.0028037461452186108,1.390491135418415,3.1380229145288467,0.45499999999999996,0.78,1656.3209550380707
update,2026-03-11T16:32:22Z,25,48,25600,-0.006351127332891338,1.28105004504323,3.07396487146616,0.5549999999999999,0.56,1725.2868959903717
update,2026-03-11T16:33:30Z,26,48,26624,-0.003915704728569835,1.101808900013566,3.142671287059784,0.5650000000000001,0.62,1793.5194900035858
update,2026-03-11T16:34:40Z,27,48,27648,-0.00686098582809791,1.4053156971931458,3.0720845386385918,0.97,0.6,1863.3487310409546
update,2026-03-11T16:35:49Z,28,48,28672,-0.004067997128004208,1.214154290035367,3.026431053876877,0.39,0.6,1931.9466531276703
update,2026-03-11T16:36:57Z,29,48,29696,-0.002499717054888606,1.3253032080829144,3.0076136142015457,0.975,0.64,1999.8145661354065
